parent,address,distance,pname,importance,biz_ext,biz_type,cityname,type,photos,typecode,shopinfo,poiweight,childtype,adname,name,location,tel,shopid,id
[],石井街道马鞍岭东区一巷一号,489,广东省,[],"{'cost': '65.00', 'opentime2': [], 'rating': '4.2', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e5343f33bee3ecad81d7c561911b69a3'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/cebe906fd037fac076752b52f6bdc44d'}]",050000,0,[],[],坪山区,赵家巷淄博烧烤·韩式烤肉,"114.403403,22.701885",[],[],B0LU6LOOHB
[],石井街道田头社区马鞍岭东区一巷2号,492,广东省,[],"{'cost': [], 'opentime2': '周一至周日 09:00-21:00', 'rating': '4.2', 'open_time': '09:00-21:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;湖南菜(湘菜),"[{'title': [], 'url': 'https://aos-comment.amap.com/B0FFL6D9K6/headerImg/16e54fc4da4e8759148d2cd4d930a2a8_2048_2048_80.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/dc7e9918-f20e-40f9-970b-cf81d12262b3.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFL6D9K6/headerImg/ea28536accd825352a91da1f54bd8f32_2048_2048_80.jpg'}]",050108,1,[],[],坪山区,常湘缘湘菜馆,"114.403380,22.702052",18824665335,[],B0FFL6D9K6
[],马安岭南区2号,494,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '4.5', 'open_time': [], 'meal_ordering': '0'}",[],深圳市,体育休闲服务;休闲场所;休闲场所|餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e1d77359c9542db33d596acb14b8c60f'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFHIQAG3/comment/content_media_external_file_100004298_1754645072916_25454687.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/1fea863da1ef33bce147b3d0c69213f6'}]",080500|050000,1,[],[],坪山区,田头农庄,"114.403555,22.701455",0755-28477346,[],B0FFHIQAG3
[],马鞍岭路与创鞍路交叉口北100米,510,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.9', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/052782267af5d58b6f40ef0c241bc1a7'}]",050100,0,[],[],坪山区,盛鑫烤鱼砂锅粥,"114.403295,22.702675",13537206968,[],B0H31PYBYL
[],石井街道马鞍岭南区13号,538,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '4.0', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;快餐厅;快餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/692b96ad46b6438164229ce731679595'}]",050300,0,[],[],坪山区,泽记隆江猪脚饭,"114.403885,22.701894",13544177759;15918815621,[],B0JU47E6KG
[],深圳技术大学南区A-1宿舍,563,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '4.5', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8e4f6fb7558c7b4e51842a6791a4e5d8'}]",050100,0,[],[],坪山区,深圳技术大学南区A-0学生饭堂,"114.396725,22.696025",[],[],B0KROZRILH
[],马鞍岭路与创鞍路交叉口东北240米,701,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '4.5', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/34d6fa37974919887cdc2dbe9d931e85'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0GUKSBX2U/comment/6adbe386eb983903d5da380feb1a599f_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0GUKSBX2U/comment/6d200302f5fb6ffe572911015f7ed294_2048_2048_80.jpg'}]",050000,0,[],[],坪山区,深圳技术大学E-0食堂,"114.405210,22.702910",[],[],B0GUKSBX2U
B0FFK0N0HE,中海万锦熙岸华庭154-157号,719,广东省,[],"{'cost': '61.00', 'opentime2': '周一至周日 06:00-21:00', 'rating': '4.2', 'open_time': '06:00-21:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/de49c159086d07b65c68724f0f0710e9'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0JUHS1PYJ/comment/3A982115_AFC9_43BE_A09D_DABB45AAAA20_L0_001_2000_1500_1738319462912_85554521.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/34701a225ae6b931e416416b5d2eb094'}]",050100,0,[],320,坪山区,坪河岸上餐馆,"114.394492,22.705796",15915480252,[],B0JUHS1PYJ
[],金田路207号万象创客园莫石特,771,广东省,[],"{'cost': [], 'opentime2': '周一至周五 10:00-20:00；周六至周日 10:00-23:00', 'rating': '3.9', 'open_time': '10:00-20:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;咖啡厅;咖啡厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/e40f74ae7779b1077114b9490bde4e4b'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/3537faca02dd7ecc7b7f0ac956b06261'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/ee134fde73b906cf57c143fbc0273517'}]",050500,1,[],[],坪山区,莫石特·时光里水吧,"114.398990,22.693778",15208399002,[],B0KASUIK1H
[],创景路与坪山金田路交叉口北120米,802,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.7', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/f91ce93dc03b4b6859485909e873f0c1'}]",050100,0,[],[],坪山区,客家腌面(创景南路店),"114.401040,22.693793",[],[],B0LDBAESXT
B0FFK0N0HE,龙田街道竹坑社区中海万锦熙岸华庭7栋134,820,广东省,[],"{'cost': [], 'opentime2': '周一至周日 09:00-24:00', 'rating': '3.9', 'open_time': '09:00-24:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;冷饮店;冷饮店,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1e02b939a2ca40ef0922b1b0538146a5'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/bfe2294f54dcd37ba534b018f423f203'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/b2ba9aa7b7e6f206b1625f6771a1bb12'}]",050700,1,[],320,坪山区,近客鲜果时光生活馆(中海万锦熙岸华庭店),"114.393880,22.706503",15999582135,[],B0JU3YO6UN
B0FFK3GKUY,广东省深圳市坪山区万象创客园内c幢,823,广东省,[],"{'cost': [], 'opentime2': '周一至周日 09:00-23:00', 'rating': '4.1', 'open_time': '09:00-23:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0HBXAP02L/headerImg/4e8a20c80da79d2a6db9fbad71489fb1_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/8cd1942cf95ffe3fbcbea76f0ed3aec5'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0HBXAP02L/headerImg/d6c5a431ee628ae1bf5704b8cbb62a85_2048_2048_80.jpg'}]",050100,1,[],320,坪山区,津味轩食府(万象创客园店),"114.398644,22.693312",0755-89998959,[],B0HBXAP02L
B0JAMRJ639,田头社区创景南路二栋一楼,836,广东省,[],"{'cost': '64.00', 'opentime2': '周一至周日 10:00-22:30', 'rating': '4.1', 'open_time': '10:00-22:30', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;火锅店,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/f3d844753cd84ef2f96aa0579d1e0b59'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5bec1d6d27764b8f8256bca6ae854bfb'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/afbb54e52b897e42e4187a7c875d7de6'}]",050117,1,[],320,坪山区,逸香居四季椰子鸡(田头创景南路店),"114.401038,22.693482",13828779086,[],B0FFHY3HBD
B0FFK0N0HE,中海万锦熙岸华庭,844,广东省,[],"{'cost': '24.00', 'opentime2': [], 'rating': '4.1', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0J3NDPCLZ/headerImg/24f8980a951198541c575c534714ad94_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/bee83d044ede09df7061cd968d39c1b6'}]",050100,0,[],320,坪山区,知遇小馆(中海万锦熙岸华庭店),"114.394585,22.707217",15989457757,[],B0J3NDPCLZ
B0JAMRJ639,创景路5-4(技术大学地铁站A口步行490米),845,广东省,[],"{'cost': '27.00', 'opentime2': '周一至周日 11:30-19:30', 'rating': '4.5', 'open_time': '11:30-19:30', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/be44e8b90352918886343f18ca8bef43'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/8419caed19f61753a3cf59f1543c7d1f'}]",050000,1,[],320,坪山区,老朱家潮汕牛肉,"114.401051,22.693395",18025367406,[],B0KRPAK7UI
[],龙田街道竹坑社区竹青路118-101号,849,广东省,[],"{'cost': '37.00', 'opentime2': '周一至周日 09:30-21:00', 'rating': '4.0', 'open_time': '09:30-21:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;快餐厅;快餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0I1DSPLXC/comment/99c001ae008f335f891ffa06b8a46954_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0I1DSPLXC/headerImg/content_media_external_images_media_64638_1660464751706_05c51e88.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0I1DSPLXC/comment/6fe426e9c0b4fc1c7cf25d49e3100035_2048_2048_80.jpg'}]",050300,0,[],[],坪山区,哈帝斯汉堡HOTTIES(奥园店),"114.392680,22.705826",13049851410,[],B0I1DSPLXC
B0FFLQAIOV,龙田街道竹坑社区金牛东路145号奥园·翡翠东湾二期,850,广东省,[],"{'cost': '13.00', 'opentime2': [], 'rating': '3.8', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;冷饮店;冷饮店,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/eb14239ded86ae6656ad16a97666ff08'}]",050700,0,[],320,坪山区,可斯克新加坡鲜奶茶(奥园·翡翠东湾二期店),"114.392424,22.705572",13587631957,[],B0KUV9TVJQ
B0FFLQAIOV,龙田街道竹坑社区金牛东路145号奥园·翡翠东湾二期,853,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.7', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,[],050000,0,[],320,坪山区,喜喝柠檬茶,"114.392420,22.705616",13587631957,[],B0K03NSFDN
B0JAMRJ639,石井街道田头社区创景南路5-1,856,广东省,[],"{'cost': '20.00', 'opentime2': '周一至周日 08:00-23:30', 'rating': '4.1', 'open_time': '08:00-23:30', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f752b53c4dbe1f1b581dc7ea1698c1c0'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/0cfa204cb3eeb49586d18e9cced84caa'}]",050100,1,[],320,坪山区,河南面馆,"114.401060,22.693293",13713660039,[],B0FFJRXGGA
[],金牛东路与开景路交叉口东南200米,861,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.9', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0KGLHK1H4/comment/content_media_external_images_media_1000125136_ss__1756171497601_54295332.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KGLHK1H4/comment/content_media_external_images_media_1000125138_ss__1756171497595_47746007.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c6fd1c901271539035994a68b9fed421'}]",050100,0,[],[],坪山区,老上海馄饨铺(安居御龙苑店),"114.394587,22.707392",19925376001,[],B0KGLHK1H4
B0FFLQAIOV,奥园翡翠东湾2期商铺3栋110号,868,广东省,[],"{'cost': [], 'opentime2': '周一至周日 09:00-21:00', 'rating': '4.1', 'open_time': '09:00-21:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/153e216d08a5be51a0ea647bf73cb193'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3865edfcb1173ec7f190a494318a6195'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7f34103daed98d44aa6541fbad63b6e0'}]",050100,1,[],320,坪山区,紫金八刀汤(奥园·翡翠东湾二期店),"114.392362,22.705759",13825214602,[],B0J3SAZHMT
B0FFLQAIOV,金牛东路145-51,871,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.8', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;快餐厅;快餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7c0494f7e649a13e862b722df55d7433'}]",050300,0,[],320,坪山区,东记猪扒包,"114.392399,22.705840",[],[],B0LUUCI4Z2
B0FFK0N0HE,中海万锦熙岸华庭6栋121商铺,873,广东省,[],"{'cost': [], 'opentime2': '周一至周日 06:30-24:00', 'rating': '4.2', 'open_time': '06:30-24:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;特色/地方风味餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f8c6ec88c5054d3595f856807fc2a7e5'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/b523354af550a56907c543b200fec3d7'}]",050118,1,[],320,坪山区,沙县小吃(中海万锦熙岸华庭店),"114.394046,22.707204",[],[],B0J1MXZOKK
[],上坝三路与上坝二路交叉口西北80米,876,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.6', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/207223c0b577c5d00d6e52b29bd8da46'}]",050000,0,[],[],坪山区,吃鸡同学·手撕鸡,"114.396818,22.708361",15819608570,[],B0KBBMH3ZG
[],上坝二路与上坝三路交叉口北60米,877,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.8', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/45ec8b312f29a985cc536cb614b4b96f'}]",050100,0,[],[],坪山区,鹅掌门(上坝二路店),"114.397209,22.708445",[],[],B0JU5MDIBW
[],田头社区创景路3号,881,广东省,[],"{'cost': '26.00', 'opentime2': '周一至周日 07:00-14:00，16:00-21:00', 'rating': '4.4', 'open_time': '07:00-14:00 16:00-21:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5f598839e64da50d6cbb5f05755f6acb'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/eab16a4581b0f1a665bb78e7e805fde9'}]",050100,1,[],[],坪山区,紫金八刀汤,"114.401077,22.693064",13510323844,[],B0KA4H8QQ4
[],竹青路126-1号,885,广东省,[],"{'cost': '72.00', 'opentime2': [], 'rating': '4.1', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/d4c7031eafbb8ec7e2c89e1341253dce'}]",050100,0,[],[],坪山区,湖南小院,"114.392709,22.706323",[],[],B0LGH1SSXP
[],石井街道石井社区上屋村5-1,885,广东省,[],"{'cost': '78.00', 'opentime2': '周一至周日 10:00-22:00', 'rating': '4.7', 'open_time': '10:00-22:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0K33S5KUB/comment/content_media_external_images_media_100001144_1731333675450_16168295.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/35fe10035c05356ce1dff6790aba2d12'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0K33S5KUB/comment/1cb67b36885f0a5ac001053c122f9d29_2048_2048_80.jpg'}]",050100,0,[],[],坪山区,上屋椰子鸡餐厅,"114.394018,22.694090",0755-28828586;13622376298,[],B0K33S5KUB
[],杜岗路与求水岭路交叉口西南60米,895,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '4.1', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/83f7d529c461df8a89872382b7ddcf31'}]",050100,0,[],[],坪山区,深圳技术大学-西餐厅,"114.405837,22.705468",[],[],B0I3FRW7PC
[],龙田街道上坝村46栋-2,909,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.7', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c8979dbd6309e300b165ffe45498c618'}]",050000,0,[],[],坪山区,宇哥金牌手撕鸡,"114.397797,22.708823",18608850897,[],B0LACHDBFN
[],石井街道田头社区矮岭村2巷7-1,910,广东省,[],"{'cost': '104.00', 'opentime2': '周一至周日 10:00-14:00,17:00-22:00', 'rating': '4.4', 'open_time': '10:00-14:00 17:00-22:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0K6NC47S9/comment/content_media_external_images_media_1000030661_ss__1753332371716_48651299.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a4a7656c624d6f39e446f470a91e599d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/49145aa4fefa884ae06992fb6a3be0f2'}]",050100,0,[],[],坪山区,罗记私房菜(矮岭店),"114.399918,22.692593",13528756959,[],B0K6NC47S9
[],上坝二路与上坝三路交叉口东北180米,920,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.7', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a2807c9957ad835d2b5785d8d2ac0e1b'}]",050100,0,[],[],坪山区,回忆二厂老饭盒,"114.398771,22.708970",17620332416,[],B0J277GJ81
B0FFLGT4FH,中海万锦熙岸华庭西门北90米,923,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.7', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/26f427f63469777a5928b9bb7230ca1e'}]",050100,0,[],320,坪山区,武汉热干面馆,"114.393673,22.707521",[],[],B0KA949UW8
[],龙田街道竹坑社区上坝7号101-2,923,广东省,[],"{'cost': '21.00', 'opentime2': '周一至周日 10:30-02:00', 'rating': '4.2', 'open_time': '10:30-02:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;快餐厅;快餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b6fdfeda077c14c2b5dbfb370b93cce6'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/18280e7370caa5dbdf832aa1d74e1f39'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3ace81f64296918f25beb3a60eb9c441'}]",050300,1,[],[],坪山区,叫了只炸鸡(坪山竹坑店),"114.397208,22.708873",13432736974;19924561724,[],B0H6MAF2B1
[],龙田街道竹坑社区上坝村7号102-2,931,广东省,[],"{'cost': [], 'opentime2': '周一至周日 10:00-23:00', 'rating': '3.8', 'open_time': '10:00-23:00', 'meal_ordering': '0'}",diner,深圳市,餐饮服务;中餐厅;特色/地方风味餐厅,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/51c3a597b0267c44f38ef2c87a0fbff4'}]",050118,0,[],[],坪山区,重庆邹记麻辣烫麻辣拌(上坝店),"114.397154,22.708935",13652428632;13714369772,[],B0HRHO8OEV
[],龙田街道竹坑社区上坝173号西南侧60米,940,广东省,[],"{'cost': [], 'opentime2': [], 'rating': '3.7', 'open_time': [], 'meal_ordering': '0'}",diner,深圳市,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d472f5cfd553224330498932831e9bca'}]",050000,0,[],[],坪山区,喜小美在长沙,"114.398748,22.709150",13632551599,[],B0KUTXEL2U
